id,expiration_id,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,label,category,subcategory,scenario
192.168.249.73:44909-192.168.19.166:4129-6,-1,192.168.249.73,44909,192.168.19.166,4129,6,1741706178074,1741706178074,0,2,84,1741706178074,1741706178074,0,1,44,1741706178074,1741706178074,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:9944-6,-1,192.168.249.73,44909,192.168.19.166,9944,6,1741706178054,1741706178054,0,2,84,1741706178054,1741706178054,0,1,44,1741706178054,1741706178054,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:50389-6,-1,192.168.249.73,44909,192.168.19.166,50389,6,1741706178055,1741706178055,0,2,84,1741706178055,1741706178055,0,1,44,1741706178055,1741706178055,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:5566-6,-1,192.168.249.73,44909,192.168.19.166,5566,6,1741706178055,1741706178055,0,2,84,1741706178055,1741706178055,0,1,44,1741706178055,1741706178055,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:1900-6,-1,192.168.249.73,44909,192.168.19.166,1900,6,1741706178055,1741706178055,0,2,84,1741706178055,1741706178055,0,1,44,1741706178055,1741706178055,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:34572-6,-1,192.168.249.73,44909,192.168.19.166,34572,6,1741706178055,1741706178055,0,2,84,1741706178055,1741706178055,0,1,44,1741706178055,1741706178055,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:32782-6,-1,192.168.249.73,44909,192.168.19.166,32782,6,1741706178055,1741706178055,0,2,84,1741706178055,1741706178055,0,1,44,1741706178055,1741706178055,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:900-6,-1,192.168.249.73,44909,192.168.19.166,900,6,1741706178055,1741706178055,0,2,84,1741706178055,1741706178055,0,1,44,1741706178055,1741706178055,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:2041-6,-1,192.168.249.73,44909,192.168.19.166,2041,6,1741706178055,1741706178055,0,2,84,1741706178055,1741706178055,0,1,44,1741706178055,1741706178055,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:6543-6,-1,192.168.249.73,44909,192.168.19.166,6543,6,1741706178055,1741706178055,0,2,84,1741706178055,1741706178055,0,1,44,1741706178055,1741706178055,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:1096-6,-1,192.168.249.73,44909,192.168.19.166,1096,6,1741706178056,1741706178056,0,2,84,1741706178056,1741706178056,0,1,44,1741706178056,1741706178056,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:4045-6,-1,192.168.249.73,44909,192.168.19.166,4045,6,1741706178056,1741706178056,0,2,84,1741706178056,1741706178056,0,1,44,1741706178056,1741706178056,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:6112-6,-1,192.168.249.73,44909,192.168.19.166,6112,6,1741706178056,1741706178056,0,2,84,1741706178056,1741706178056,0,1,44,1741706178056,1741706178056,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:13456-6,-1,192.168.249.73,44909,192.168.19.166,13456,6,1741706178056,1741706178056,0,2,84,1741706178056,1741706178056,0,1,44,1741706178056,1741706178056,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:1417-6,-1,192.168.249.73,44909,192.168.19.166,1417,6,1741706178056,1741706178056,0,2,84,1741706178056,1741706178056,0,1,44,1741706178056,1741706178056,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:5080-6,-1,192.168.249.73,44909,192.168.19.166,5080,6,1741706178057,1741706178057,0,2,84,1741706178057,1741706178057,0,1,44,1741706178057,1741706178057,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:7100-6,-1,192.168.249.73,44909,192.168.19.166,7100,6,1741706178057,1741706178057,0,2,84,1741706178057,1741706178057,0,1,44,1741706178057,1741706178057,0,1,40,40,42,2,44,44,44,0,44,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,port-scan,nmap,nmap_A_T4
